Adam using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=-0.70711, unitvecWb=0.70711, eff_stepsize=0.01414, dWa=-0.09704, dWb=0.88797, VdWa=-0.00970, VdWb=0.08880, sqrt_SdWa=0.00307, sqrt_SdWb=0.02808
updates=2, Epoch=0, minibatch=1, loss=0.20012, Wa=0.1100, Wb=1.7900, unitvecWa=-0.67568, unitvecWb=0.73719, eff_stepsize=0.01109, dWa=-13.23658, dWb=0.19994, VdWa=-1.33239, VdWb=0.09991, sqrt_SdWa=0.41859, sqrt_SdWb=0.02877
updates=3, Epoch=0, minibatch=2, loss=0.25784, Wa=0.1175, Wb=1.7818, unitvecWa=-0.74833, unitvecWb=0.66333, eff_stepsize=0.01087, dWa=-31.41546, dWb=0.13915, VdWa=-4.34070, VdWb=0.10383, sqrt_SdWa=1.07795, sqrt_SdWb=0.02909
updates=4, Epoch=0, minibatch=3, loss=0.23987, Wa=0.1256, Wb=1.7746, unitvecWa=-0.73045, unitvecWb=0.68296, eff_stepsize=0.01143, dWa=-13.73086, dWb=0.42892, VdWa=-5.27971, VdWb=0.13634, sqrt_SdWa=1.16161, sqrt_SdWb=0.03208
updates=5, Epoch=0, minibatch=4, loss=0.10786, Wa=0.1340, Wb=1.7668, unitvecWa=-0.63868, unitvecWb=0.76947, eff_stepsize=0.01083, dWa=0.94806, dWb=0.50025, VdWa=-4.65694, VdWb=0.17273, sqrt_SdWa=1.16142, sqrt_SdWb=0.03576
updates=6, Epoch=0, minibatch=5, loss=0.55852, Wa=0.1409, Wb=1.7585, unitvecWa=-0.60334, unitvecWb=0.79748, eff_stepsize=0.01052, dWa=-172.57439, dWb=0.34335, VdWa=-21.44868, VdWb=0.18980, sqrt_SdWa=5.57938, sqrt_SdWb=0.03735
updates=7, Epoch=0, minibatch=6, loss=0.22758, Wa=0.1472, Wb=1.7501, unitvecWa=-0.58578, unitvecWb=0.81047, eff_stepsize=0.01037, dWa=-19.78603, dWb=0.32274, VdWa=-21.28242, VdWb=0.20309, sqrt_SdWa=5.61158, sqrt_SdWb=0.03870
updates=8, Epoch=0, minibatch=7, loss=0.10080, Wa=0.1533, Wb=1.7417, unitvecWa=-0.52604, unitvecWb=0.85046, eff_stepsize=0.01017, dWa=0.22746, dWb=0.43812, VdWa=-19.13143, VdWb=0.22659, sqrt_SdWa=5.60878, sqrt_SdWb=0.04109
updates=9, Epoch=1, minibatch=0, loss=0.23579, Wa=0.1587, Wb=1.7330, unitvecWa=-0.51526, unitvecWb=0.85703, eff_stepsize=0.01010, dWa=-17.59137, dWb=0.33885, VdWa=-18.97742, VdWb=0.23782, sqrt_SdWa=5.63351, sqrt_SdWb=0.04244
updates=10, Epoch=1, minibatch=1, loss=0.11921, Wa=0.1639, Wb=1.7244, unitvecWa=-0.46408, unitvecWb=0.88579, eff_stepsize=0.01003, dWa=-0.34118, dWb=0.46342, VdWa=-17.11379, VdWb=0.26038, sqrt_SdWa=5.63070, sqrt_SdWb=0.04488
updates=11, Epoch=1, minibatch=2, loss=0.14971, Wa=0.1685, Wb=1.7155, unitvecWa=-0.40897, unitvecWb=0.91255, eff_stepsize=0.01016, dWa=0.70387, dWb=0.68368, VdWa=-15.33203, VdWb=0.30271, sqrt_SdWa=5.62793, sqrt_SdWb=0.04980
