Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=0.8
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[4, 8, 10, 12, 14, 16, 18, 20, 22, 24]
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13135, Wa=0.2200, Wb=1.6800, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-3.91536, dWb=0.23533, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.18072, Wa=0.3113, Wb=1.5794, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-7.70185, dWb=0.20163, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.09302, Wa=0.4116, Wb=1.4870, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.74976, dWb=0.08463, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.10205, Wa=0.5110, Wb=1.4053, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.09600, dWa=-2.31647, dWb=-0.00922, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.11918, Wa=0.5891, Wb=1.3506, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.09600, dWa=-2.91232, dWb=-0.08336, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.04037, Wa=0.6683, Wb=1.3081, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.09600, dWa=-0.51203, dWb=-0.07702, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.05721, Wa=0.7399, Wb=1.2750, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.09600, dWa=-0.87569, dWb=-0.13187, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.05158, Wa=0.8070, Wb=1.2527, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.07680, dWa=-0.67755, dWb=-0.16608, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.08091, Wa=0.8572, Wb=1.2435, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.07680, dWa=-3.06513, dWb=-0.18771, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.07885, Wa=0.9110, Wb=1.2425, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06144, dWa=-1.53198, dWb=-0.18628, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.04092, Wa=0.9535, Wb=1.2473, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06144, dWa=-1.01656, dWb=-0.11759, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.04780, Wa=0.9944, Wb=1.2550, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.04915, dWa=-0.78332, dWb=-0.09926, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.02391, Wa=1.0255, Wb=1.2629, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.04915, dWa=-0.49620, dWb=-0.06154, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.01890, Wa=1.0548, Wb=1.2714, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03932, dWa=-0.38617, dWb=-0.05116, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.01137, Wa=1.0767, Wb=1.2785, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03932, dWa=-0.18394, dWb=-0.00406, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.01877, Wa=1.0968, Wb=1.2850, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03146, dWa=-0.68048, dWb=-0.02073, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=18, Epoch=2, minibatch=1, loss=0.01745, Wa=1.1125, Wb=1.2901, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03146, dWa=-0.57547, dWb=0.00056, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=19, Epoch=2, minibatch=2, loss=0.00718, Wa=1.1275, Wb=1.2947, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02517, dWa=-0.15544, dWb=0.03439, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=20, Epoch=2, minibatch=3, loss=0.00679, Wa=1.1386, Wb=1.2976, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02517, dWa=-0.13270, dWb=0.03760, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=21, Epoch=2, minibatch=4, loss=0.01613, Wa=1.1488, Wb=1.2997, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02013, dWa=-1.40778, dWb=0.02897, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
