Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=1.0
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[]
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13135, Wa=0.2200, Wb=1.6800, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-3.91536, dWb=0.23533, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.18072, Wa=0.3113, Wb=1.5794, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-7.70185, dWb=0.20163, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.09302, Wa=0.4116, Wb=1.4870, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.74976, dWb=0.08463, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.10205, Wa=0.5110, Wb=1.4053, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.31647, dWb=-0.00922, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.13746, Wa=0.6087, Wb=1.3370, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-3.40901, dWb=-0.11259, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.06770, Wa=0.7092, Wb=1.2859, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-1.36668, dWb=-0.10530, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.07112, Wa=0.8045, Wb=1.2483, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-1.93239, dWb=-0.14344, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.02745, Wa=0.8982, Wb=1.2243, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.28997, dWb=-0.16099, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.03705, Wa=0.9830, Wb=1.2130, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.47656, dWb=-0.17894, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.02653, Wa=1.0613, Wb=1.2136, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.51424, dWb=-0.14426, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.01742, Wa=1.1343, Wb=1.2224, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.75121, dWb=-0.08607, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.00332, Wa=1.2041, Wb=1.2352, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.11161, dWb=-0.02806, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.00119, Wa=1.2675, Wb=1.2484, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.05365, dWb=0.02188, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.00367, Wa=1.3246, Wb=1.2590, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.06874, dWb=0.06665, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.01060, Wa=1.3758, Wb=1.2648, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.10338, dWb=0.11337, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.02907, Wa=1.4216, Wb=1.2634, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.19588, dWb=0.16022, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=18, Epoch=2, minibatch=1, loss=0.02072, Wa=1.4621, Wb=1.2529, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.12096, dWb=0.15383, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=19, Epoch=2, minibatch=2, loss=0.01764, Wa=1.4981, Wb=1.2346, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.08451, dWb=0.10868, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=20, Epoch=2, minibatch=3, loss=0.03171, Wa=1.5303, Wb=1.2118, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.12651, dWb=0.13008, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=21, Epoch=2, minibatch=4, loss=0.02894, Wa=1.5589, Wb=1.1837, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.10934, dWb=0.11337, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
