Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=lambda_fn_0_8
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=lmbda0_5 = lambda epoch: 0.5 if (epoch >= 5 and epoch <= 20 and epoch % 5 == 0) else 1.0
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13135, Wa=0.2200, Wb=1.6800, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-3.91536, dWb=0.23533, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.18072, Wa=0.3113, Wb=1.5794, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-7.70185, dWb=0.20163, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.09302, Wa=0.4116, Wb=1.4870, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.74976, dWb=0.08463, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.10205, Wa=0.5110, Wb=1.4053, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.31647, dWb=-0.00922, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.13746, Wa=0.6087, Wb=1.3370, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-3.40901, dWb=-0.11259, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.06770, Wa=0.7092, Wb=1.2859, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.09600, dWa=-1.36668, dWb=-0.10530, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.03359, Wa=0.7854, Wb=1.2558, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.09600, dWa=-0.39380, dWb=-0.13850, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.04296, Wa=0.8544, Wb=1.2364, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.07680, dWa=-0.57191, dWb=-0.16582, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.06747, Wa=0.9055, Wb=1.2292, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.07680, dWa=-1.06926, dWb=-0.19266, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.05382, Wa=0.9547, Wb=1.2300, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06144, dWa=-0.81884, dWb=-0.18470, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.05077, Wa=0.9923, Wb=1.2361, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06144, dWa=-1.38334, dWb=-0.12200, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.02862, Wa=1.0298, Wb=1.2450, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.04915, dWa=-0.41804, dWb=-0.09795, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.01372, Wa=1.0578, Wb=1.2536, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.04915, dWa=-0.23468, dWb=-0.06118, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.01726, Wa=1.0836, Wb=1.2629, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03932, dWa=-0.46936, dWb=-0.04976, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.00973, Wa=1.1031, Wb=1.2705, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03932, dWa=-0.20818, dWb=-0.00531, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.01468, Wa=1.1212, Wb=1.2775, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03146, dWa=-0.39528, dWb=-0.02285, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=18, Epoch=2, minibatch=1, loss=0.01133, Wa=1.1350, Wb=1.2829, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03146, dWa=-0.29117, dWb=0.00069, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=19, Epoch=2, minibatch=2, loss=0.00952, Wa=1.1479, Wb=1.2878, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02517, dWa=-0.35255, dWb=0.02987, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=20, Epoch=2, minibatch=3, loss=0.00728, Wa=1.1577, Wb=1.2910, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02517, dWa=-0.25253, dWb=0.03686, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
