RMSprop optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=-0.70711, unitvecWb=0.70711, eff_stepsize=0.14142, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00970, sqrt_SdWb=0.08880
updates=2, Epoch=0, minibatch=1, loss=0.08536, Wa=0.2000, Wb=1.7000, unitvecWa=-0.94551, unitvecWb=0.32560, eff_stepsize=0.10517, dWa=-0.90940, dWb=0.32203, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.09145, sqrt_SdWb=0.09404
updates=3, Epoch=0, minibatch=2, loss=0.17800, Wa=0.2994, Wb=1.6658, unitvecWa=-0.94340, unitvecWb=0.33166, eff_stepsize=0.10365, dWa=-4.25102, dWb=0.34253, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.43473, sqrt_SdWb=0.09964
updates=4, Epoch=0, minibatch=3, loss=0.10023, Wa=0.3972, Wb=1.6314, unitvecWa=-0.66243, unitvecWb=0.74913, eff_stepsize=0.03567, dWa=-1.05182, dWb=0.27490, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.44516, sqrt_SdWb=0.10288
updates=5, Epoch=0, minibatch=4, loss=0.15215, Wa=0.4209, Wb=1.6047, unitvecWa=-0.94390, unitvecWb=0.33022, eff_stepsize=0.07186, dWa=-4.08829, dWb=0.25004, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.60276, sqrt_SdWb=0.10537
updates=6, Epoch=0, minibatch=5, loss=0.05856, Wa=0.4887, Wb=1.5809, unitvecWa=-0.38429, unitvecWb=0.92321, eff_stepsize=0.01983, dWa=-0.45848, dWb=0.19529, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.60149, sqrt_SdWb=0.10665
updates=7, Epoch=0, minibatch=6, loss=0.07926, Wa=0.4963, Wb=1.5626, unitvecWa=-0.42472, unitvecWb=0.90532, eff_stepsize=0.02751, dWa=-0.70418, dWb=0.27292, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.60261, sqrt_SdWb=0.10957
updates=8, Epoch=0, minibatch=7, loss=0.07682, Wa=0.5080, Wb=1.5377, unitvecWa=-0.76910, unitvecWb=0.63913, eff_stepsize=0.02318, dWa=-1.08609, dWb=0.16328, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.60934, sqrt_SdWb=0.11023
updates=9, Epoch=1, minibatch=0, loss=0.09798, Wa=0.5258, Wb=1.5229, unitvecWa=-0.98523, unitvecWb=0.17124, eff_stepsize=0.03283, dWa=-2.07240, dWb=0.06176, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.64073, sqrt_SdWb=0.10986
updates=10, Epoch=1, minibatch=1, loss=0.15111, Wa=0.5582, Wb=1.5173, unitvecWa=-0.99617, unitvecWb=0.08746, eff_stepsize=0.05323, dWa=-3.98770, dWb=0.05095, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.75196, sqrt_SdWb=0.10942
updates=11, Epoch=1, minibatch=2, loss=0.10700, Wa=0.6112, Wb=1.5126, unitvecWa=-0.99665, unitvecWb=0.08181, eff_stepsize=0.04689, dWa=-3.95494, dWb=0.04179, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.84629, sqrt_SdWb=0.10896
updates=12, Epoch=1, minibatch=3, loss=0.10945, Wa=0.6579, Wb=1.5088, unitvecWa=-0.93889, unitvecWb=0.34421, eff_stepsize=0.02760, dWa=-2.25892, dWb=0.10345, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.87182, sqrt_SdWb=0.10890
updates=13, Epoch=1, minibatch=4, loss=0.08311, Wa=0.6838, Wb=1.4993, unitvecWa=-0.62130, unitvecWb=0.78357, eff_stepsize=0.02292, dWa=-1.24818, dWb=0.19785, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.87639, sqrt_SdWb=0.11015
updates=14, Epoch=1, minibatch=5, loss=0.08473, Wa=0.6981, Wb=1.4813, unitvecWa=-0.74269, unitvecWb=0.66963, eff_stepsize=0.02057, dWa=-1.34799, dWb=0.15241, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.88235, sqrt_SdWb=0.11065
updates=15, Epoch=1, minibatch=6, loss=0.08326, Wa=0.7133, Wb=1.4675, unitvecWa=-0.94176, unitvecWb=0.33628, eff_stepsize=0.02485, dWa=-2.11301, dWb=0.09231, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.90300, sqrt_SdWb=0.11048
updates=16, Epoch=1, minibatch=7, loss=0.04047, Wa=0.7367, Wb=1.4592, unitvecWa=-0.14418, unitvecWb=0.98955, eff_stepsize=0.01748, dWa=-0.22652, dWb=0.19306, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.89876, sqrt_SdWb=0.11161
updates=17, Epoch=2, minibatch=0, loss=0.02742, Wa=0.7393, Wb=1.4419, unitvecWa=-0.29116, unitvecWb=0.95667, eff_stepsize=0.00909, dWa=-0.23688, dWb=0.09699, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.89457, sqrt_SdWb=0.11147
updates=18, Epoch=2, minibatch=1, loss=0.05086, Wa=0.7419, Wb=1.4332, unitvecWa=-0.70322, unitvecWb=0.71098, eff_stepsize=0.01011, dWa=-0.63468, dWb=0.07997, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.89234, sqrt_SdWb=0.11120
updates=19, Epoch=2, minibatch=2, loss=0.07697, Wa=0.7490, Wb=1.4260, unitvecWa=-0.95513, unitvecWb=0.29619, eff_stepsize=0.03242, dWa=-2.89137, dWb=0.10674, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.93376, sqrt_SdWb=0.11116
updates=20, Epoch=2, minibatch=3, loss=0.08307, Wa=0.7800, Wb=1.4164, unitvecWa=-0.95894, unitvecWb=0.28362, eff_stepsize=0.01830, dWa=-1.65638, dWb=0.05749, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94373, sqrt_SdWb=0.11075
updates=21, Epoch=2, minibatch=4, loss=0.07189, Wa=0.7975, Wb=1.4112, unitvecWa=-0.99250, unitvecWb=0.12222, eff_stepsize=0.01543, dWa=-1.45505, dWb=0.02078, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95021, sqrt_SdWb=0.11022
updates=22, Epoch=2, minibatch=5, loss=0.06717, Wa=0.8129, Wb=1.4093, unitvecWa=-0.99996, unitvecWb=0.00878, eff_stepsize=0.01372, dWa=-1.30975, dWb=0.00132, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95447, sqrt_SdWb=0.10966
updates=23, Epoch=2, minibatch=6, loss=0.02987, Wa=0.8266, Wb=1.4092, unitvecWa=-0.63233, unitvecWb=0.77470, eff_stepsize=0.00733, dWa=-0.44066, dWb=0.06206, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95071, sqrt_SdWb=0.10929
updates=24, Epoch=2, minibatch=7, loss=0.07280, Wa=0.8312, Wb=1.4035, unitvecWa=-0.99986, unitvecWb=-0.01693, eff_stepsize=0.01394, dWa=-1.33124, dWb=-0.00257, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95527, sqrt_SdWb=0.10874
updates=25, Epoch=3, minibatch=0, loss=0.03004, Wa=0.8452, Wb=1.4038, unitvecWa=-0.54541, unitvecWb=0.83817, eff_stepsize=0.00919, dWa=-0.47690, dWb=0.08357, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95167, sqrt_SdWb=0.10852
updates=26, Epoch=3, minibatch=1, loss=0.05860, Wa=0.8502, Wb=1.3961, unitvecWa=-0.99468, unitvecWb=0.10297, eff_stepsize=0.01010, dWa=-0.95654, dWb=0.01124, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95172, sqrt_SdWb=0.10798
