SGD optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=-0.10863, unitvecWb=0.99408, eff_stepsize=0.00893, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13974, Wa=0.1010, Wb=1.7911, unitvecWa=-0.95120, unitvecWb=0.30857, eff_stepsize=0.01433, dWa=-1.36340, dWb=0.44228, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.20353, Wa=0.1146, Wb=1.7867, unitvecWa=-0.99994, unitvecWb=0.01091, eff_stepsize=0.17114, dWa=-17.11268, dWb=0.18671, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.16305, Wa=0.2857, Wb=1.7848, unitvecWa=-0.83162, unitvecWb=0.55534, eff_stepsize=0.00943, dWa=-0.78398, dWb=0.52352, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.13590, Wa=0.2936, Wb=1.7796, unitvecWa=-0.16330, unitvecWb=0.98658, eff_stepsize=0.00514, dWa=-0.08392, dWb=0.50701, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.11679, Wa=0.2944, Wb=1.7745, unitvecWa=-0.90070, unitvecWb=0.43444, eff_stepsize=0.00876, dWa=-0.78912, dWb=0.38062, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.16673, Wa=0.3023, Wb=1.7707, unitvecWa=-0.95749, unitvecWb=0.28846, eff_stepsize=0.01677, dWa=-1.60611, dWb=0.48387, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.20777, Wa=0.3184, Wb=1.7659, unitvecWa=-0.99854, unitvecWb=0.05394, eff_stepsize=0.05971, dWa=-5.96226, dWb=0.32205, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.21246, Wa=0.3780, Wb=1.7627, unitvecWa=-0.99992, unitvecWb=0.01231, eff_stepsize=0.20200, dWa=-20.19881, dWb=0.24858, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.16242, Wa=0.5800, Wb=1.7602, unitvecWa=-0.98662, unitvecWb=0.16302, eff_stepsize=0.02025, dWa=-1.99828, dWb=0.33018, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.14476, Wa=0.6000, Wb=1.7569, unitvecWa=-0.99157, unitvecWb=0.12961, eff_stepsize=0.02530, dWa=-2.50825, dWb=0.32785, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.16787, Wa=0.6250, Wb=1.7536, unitvecWa=-0.97361, unitvecWb=0.22823, eff_stepsize=0.01780, dWa=-1.73301, dWb=0.40625, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
