SGD_w_Momentum optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=-0.10863, unitvecWb=0.99408, eff_stepsize=0.00893, dWa=-0.09704, dWb=0.88797, VdWa=-0.09704, VdWb=0.88797, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13974, Wa=0.1010, Wb=1.7911, unitvecWa=-0.75978, unitvecWb=0.65018, eff_stepsize=0.01909, dWa=-1.36340, dWb=0.44228, VdWa=-1.45073, VdWb=1.24145, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.18840, Wa=0.1155, Wb=1.7787, unitvecWa=-0.99655, unitvecWb=0.08301, eff_stepsize=0.15668, dWa=-14.30832, dWb=0.18331, VdWa=-15.61398, VdWb=1.30062, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.17688, Wa=0.2716, Wb=1.7657, unitvecWa=-0.99551, unitvecWb=0.09469, eff_stepsize=0.17169, dWa=-3.03949, dWb=0.45520, VdWa=-17.09207, VdWb=1.62575, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.18477, Wa=0.4425, Wb=1.7494, unitvecWa=-0.99458, unitvecWb=0.10396, eff_stepsize=0.18318, dWa=-2.83618, dWb=0.44119, VdWa=-18.21904, VdWb=1.90436, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.15266, Wa=0.6247, Wb=1.7304, unitvecWa=-0.99315, unitvecWb=0.11682, eff_stepsize=0.17923, dWa=-1.40361, dWb=0.37997, VdWa=-17.80075, VdWb=2.09389, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.14192, Wa=0.8027, Wb=1.7095, unitvecWa=-0.99059, unitvecWb=0.13688, eff_stepsize=0.17076, dWa=-0.89428, dWb=0.45284, VdWa=-16.91496, VdWb=2.33734, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.11848, Wa=0.9719, Wb=1.6861, unitvecWa=-0.98522, unitvecWb=0.17127, eff_stepsize=0.15442, dWa=0.00978, dWb=0.54110, VdWa=-15.21368, VdWb=2.64470, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.10127, Wa=1.1240, Wb=1.6596, unitvecWa=-0.97908, unitvecWb=0.20346, eff_stepsize=0.14038, dWa=-0.05205, dWb=0.47593, VdWa=-13.74436, VdWb=2.85616, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.10611, Wa=1.2615, Wb=1.6311, unitvecWa=-0.96832, unitvecWb=0.24969, eff_stepsize=0.12400, dWa=0.36283, dWb=0.52563, VdWa=-12.00709, VdWb=3.09618, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.13258, Wa=1.3815, Wb=1.6001, unitvecWa=-0.95130, unitvecWb=0.30826, eff_stepsize=0.11006, dWa=0.33615, dWb=0.60619, VdWa=-10.47023, VdWb=3.39275, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.17050, Wa=1.4862, Wb=1.5662, unitvecWa=-0.92494, unitvecWb=0.38010, eff_stepsize=0.09726, dWa=0.42752, dWb=0.64327, VdWa=-8.99569, VdWb=3.69675, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.15697, Wa=1.5762, Wb=1.5292, unitvecWa=-0.89194, unitvecWb=0.45216, eff_stepsize=0.08783, dWa=0.26230, dWb=0.64424, VdWa=-7.83382, VdWb=3.97131, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.16399, Wa=1.6545, Wb=1.4895, unitvecWa=-0.85048, unitvecWb=0.52600, eff_stepsize=0.07993, dWa=0.25212, dWb=0.63042, VdWa=-6.79831, VdWb=4.20460, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.11690, Wa=1.7225, Wb=1.4475, unitvecWa=-0.80850, unitvecWb=0.58849, eff_stepsize=0.07378, dWa=0.15321, dWb=0.55788, VdWa=-5.96527, VdWb=4.34202, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.10271, Wa=1.7822, Wb=1.4040, unitvecWa=-0.76601, unitvecWb=0.64282, eff_stepsize=0.06857, dWa=0.11590, dWb=0.50025, VdWa=-5.25284, VdWb=4.40807, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.13833, Wa=1.8347, Wb=1.3600, unitvecWa=-0.71344, unitvecWb=0.70071, eff_stepsize=0.06405, dWa=0.15812, dWb=0.52066, VdWa=-4.56944, VdWb=4.48793, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=18, Epoch=2, minibatch=1, loss=0.08671, Wa=1.8804, Wb=1.3151, unitvecWa=-0.66922, unitvecWb=0.74307, eff_stepsize=0.05998, dWa=0.09880, dWb=0.41749, VdWa=-4.01370, VdWb=4.45662, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=19, Epoch=2, minibatch=2, loss=0.05654, Wa=1.9205, Wb=1.2705, unitvecWa=-0.63692, unitvecWb=0.77093, eff_stepsize=0.05574, dWa=0.06193, dWb=0.28649, VdWa=-3.55040, VdWb=4.29745, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=20, Epoch=2, minibatch=3, loss=0.07907, Wa=1.9560, Wb=1.2275, unitvecWa=-0.59894, unitvecWb=0.80079, eff_stepsize=0.05201, dWa=0.08018, dWb=0.29734, VdWa=-3.11518, VdWb=4.16505, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=21, Epoch=2, minibatch=4, loss=0.06764, Wa=1.9872, Wb=1.1859, unitvecWa=-0.56368, unitvecWb=0.82599, eff_stepsize=0.04851, dWa=0.06935, dWb=0.25818, VdWa=-2.73431, VdWb=4.00673, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
